Booklet design;1;1;2021-01-09;2021-01-26
Wifi network modernization;1;1;2021-02-05;2021-02-19
Information security audit;1;1;2021-03-09;2021-03-21
Rebranding;1;1;2021-04-04;2021-04-20
Information security audit;1;1;2021-05-05;2021-05-21
Rebranding;1;1;2021-06-03;2021-06-23
Researching;1;1;2021-07-09;2021-07-23
Mobile app development;1;1;2021-08-09;2021-08-16
Wifi network modernization;1;1;2021-09-05;2021-09-17
Website design;1;1;2021-10-03;2021-10-21
Customer survey;1;1;2021-11-01;2021-11-07
Staff training;1;1;2021-12-08;2021-12-13
Call center launching;1;2;2021-01-07;2021-01-12
Customer survey;1;2;2021-02-01;2021-02-12
Mobile app development;1;2;2021-03-06;2021-03-16
Booklet design;1;2;2021-04-06;2021-04-23
Website design;1;2;2021-05-02;2021-05-09
Rebranding;1;2;2021-06-06;2021-06-24
1С maintenance;1;2;2021-07-03;2021-07-11
Booklet design;1;2;2021-08-03;2021-08-09
Customer survey;1;2;2021-09-10;2021-09-29
Booklet design;1;2;2021-10-09;2021-10-15
CRM development;1;2;2021-11-07;2021-11-13
Booklet design;1;2;2021-12-04;2021-12-23
Website design;1;3;2021-01-06;2021-01-23
Customer survey;1;3;2021-02-04;2021-02-09
Call center launching;1;3;2021-03-02;2021-03-19
Wifi network modernization;1;3;2021-04-03;2021-04-14
CRM development;1;3;2021-05-06;2021-05-23
Website development;1;3;2021-06-01;2021-06-13
1С maintenance;1;3;2021-07-09;2021-07-19
Researching;1;3;2021-08-01;2021-08-07
Customer survey;1;3;2021-09-08;2021-09-22
Website development;1;3;2021-10-09;2021-10-19
Staff training;1;3;2021-11-04;2021-11-20
Information security audit;1;3;2021-12-05;2021-12-10
Rebranding;1;4;2021-01-02;2021-01-12
Researching;1;4;2021-02-01;2021-02-13
Rebranding;1;4;2021-03-07;2021-03-20
CRM development;1;4;2021-04-07;2021-04-26
Call center launching;1;4;2021-05-02;2021-05-22
Researching;1;4;2021-06-05;2021-06-21
Call center launching;1;4;2021-07-06;2021-07-25
Wifi network modernization;1;4;2021-08-07;2021-08-22
CRM development;1;4;2021-09-06;2021-09-25
Mobile app development;1;4;2021-10-03;2021-10-18
Wifi network modernization;1;4;2021-11-02;2021-11-14
Mobile app development;1;4;2021-12-09;2021-12-20
Staff training;1;5;2021-01-10;2021-01-30
Information security audit;1;5;2021-02-10;2021-03-02
CRM development;1;5;2021-03-04;2021-03-12
Staff training;1;5;2021-04-10;2021-04-16
Staff training;1;5;2021-05-02;2021-05-19
CRM development;1;5;2021-06-07;2021-06-15
Mobile app development;1;5;2021-07-01;2021-07-08
Customer survey;1;5;2021-08-09;2021-08-14
Mobile app development;1;5;2021-09-08;2021-09-23
Call center launching;1;5;2021-10-09;2021-10-24
Website development;1;5;2021-11-02;2021-11-11
Mobile app development;1;5;2021-12-02;2021-12-15
Website development;1;6;2021-01-02;2021-01-14
Wifi network modernization;1;6;2021-02-10;2021-02-19
1С maintenance;1;6;2021-03-03;2021-03-19
Wifi network modernization;1;6;2021-04-10;2021-04-17
Mobile app development;1;6;2021-05-04;2021-05-17
Rebranding;1;6;2021-06-08;2021-06-25
Booklet design;1;6;2021-07-04;2021-07-16
Call center launching;1;6;2021-08-02;2021-08-09
CRM development;1;6;2021-09-01;2021-09-13
Website development;1;6;2021-10-10;2021-10-15
Information security audit;1;6;2021-11-02;2021-11-11
Rebranding;1;6;2021-12-06;2021-12-12
Staff training;1;7;2021-01-03;2021-01-11
Information security audit;1;7;2021-02-07;2021-02-22
Call center launching;1;7;2021-03-05;2021-03-17
Mobile app development;1;7;2021-04-08;2021-04-28
Call center launching;1;7;2021-05-02;2021-05-09
Information security audit;1;7;2021-06-09;2021-06-18
Booklet design;1;7;2021-07-03;2021-07-18
Researching;1;7;2021-08-02;2021-08-07
Mobile app development;1;7;2021-09-07;2021-09-26
Researching;1;7;2021-10-08;2021-10-27
Staff training;1;7;2021-11-07;2021-11-18
Website design;1;7;2021-12-08;2021-12-15
Website development;1;8;2021-01-07;2021-01-21
Rebranding;1;8;2021-02-05;2021-02-11
Wifi network modernization;1;8;2021-03-08;2021-03-25
CRM development;1;8;2021-04-06;2021-04-21
Information security audit;1;8;2021-05-03;2021-05-15
Booklet design;1;8;2021-06-07;2021-06-14
CRM development;1;8;2021-07-08;2021-07-16
Booklet design;1;8;2021-08-05;2021-08-14
Information security audit;1;8;2021-09-04;2021-09-24
Rebranding;1;8;2021-10-05;2021-10-18
Booklet design;1;8;2021-11-02;2021-11-10
Mobile app development;1;8;2021-12-05;2021-12-20
CRM development;1;9;2021-01-01;2021-01-13
Information security audit;1;9;2021-02-02;2021-02-12
Booklet design;1;9;2021-03-04;2021-03-14
Call center launching;1;9;2021-04-10;2021-04-24
Call center launching;1;9;2021-05-01;2021-05-08
Information security audit;1;9;2021-06-10;2021-06-17
